iter	Passed	Remaining
0	226	22453
1	435	21332
2	637	20606
3	846	20314
4	1063	20197
5	1270	19907
6	1478	19640
7	1687	19404
8	1890	19111
9	2090	18815
10	2297	18588
11	2513	18432
12	2716	18179
13	2932	18014
14	3174	17986
15	3396	17831
16	3623	17690
17	3843	17509
18	4056	17294
19	4271	17084
20	4463	16790
21	4675	16577
22	4890	16373
23	5103	16160
24	5303	15911
25	5517	15703
26	5726	15483
27	5937	15267
28	6139	15030
29	6338	14790
30	6537	14550
31	6751	14346
32	6957	14125
33	7169	13916
34	7371	13690
35	7585	13485
36	7796	13274
37	8044	13125
38	8261	12921
39	8622	12934
40	8878	12776
41	9195	12698
42	9429	12499
43	9641	12270
44	9845	12033
45	10042	11789
46	10242	11549
47	10439	11309
48	10633	11067
49	10841	10841
50	11056	10622
51	11257	10391
52	11465	10167
53	11709	9974
54	11962	9787
55	11962	9787
56	12763	9800
57	13202	9727
58	13492	9537
59	13736	9312
60	13981	9087
61	14206	8849
62	14449	8623
63	14685	8391
64	14909	8153
65	15137	7918
66	15360	7680
67	15573	7438
68	15868	7234
69	16240	7060
70	16644	6895
71	16967	6691
72	17285	6482
73	17603	6269
74	17920	6054
75	18240	5837
76	18566	5618
77	18876	5393
78	19212	5172
79	19514	4940
80	19830	4709
81	20142	4476
82	20450	4239
83	20768	4003
84	21099	3767
85	21410	3526
86	21687	3278
87	21924	3024
88	22165	2770
89	22421	2519
90	22634	2263
91	22860	2009
92	23065	1754
93	23286	1502
94	23483	1249
95	23688	997
96	23912	747
97	24127	497
98	24338	248
99	24549	0
